Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Сортировка выбором; 1300; Рандом от 0 до 5; 3739839
Сортировка пузырьком; 1300; Рандом от 0 до 5; 8481603
Сортировка пузырьком (Айверсон 1); 1300; Рандом от 0 до 5; 8248479
Сортировка пузырьком (Айверсон 1 + 2); 1300; Рандом от 0 до 5; 6780322
Сортировка вставками; 1300; Рандом от 0 до 5; 3680320
Сортировка бинарными вставками; 1300; Рандом от 0 до 5; 2708161
Сортировка подсчетом; 1300; Рандом от 0 до 5; 44642
Цифровая сортировка; 1300; Рандом от 0 до 5; 29758
Сортировка слиянием; 1300; Рандом от 0 до 5; 441441
Быстрая сортировка (Разбиение Хоара); 1300; Рандом от 0 до 5; 84318
Быстрая сортировка (Разбиение Ломуто); 1300; Рандом от 0 до 5; 1532639
Пирамидальная сортировка; 1300; Рандом от 0 до 5; 208322
Сортировка выбором; 1400; Рандом от 0 до 5; 4325122
Сортировка пузырьком; 1400; Рандом от 0 до 5; 9825759
Сортировка пузырьком (Айверсон 1); 1400; Рандом от 0 до 5; 9552963
Сортировка пузырьком (Айверсон 1 + 2); 1400; Рандом от 0 до 5; 7901281
Сортировка вставками; 1400; Рандом от 0 до 5; 4211049
Сортировка бинарными вставками; 1400; Рандом от 0 до 5; 3114885
Сортировка подсчетом; 1400; Рандом от 0 до 5; 39680
Цифровая сортировка; 1400; Рандом от 0 до 5; 49601
Сортировка слиянием; 1400; Рандом от 0 до 5; 486078
Быстрая сортировка (Разбиение Хоара); 1400; Рандом от 0 до 5; 99202
Быстрая сортировка (Разбиение Ломуто); 1400; Рандом от 0 до 5; 1780640
Пирамидальная сортировка; 1400; Рандом от 0 до 5; 238078
Сортировка выбором; 1500; Рандом от 0 до 5; 4969920
Сортировка пузырьком; 1500; Рандом от 0 до 5; 11254238
Сортировка пузырьком (Айверсон 1); 1500; Рандом от 0 до 5; 10966561
Сортировка пузырьком (Айверсон 1 + 2); 1500; Рандом от 0 до 5; 9096641
Сортировка вставками; 1500; Рандом от 0 до 5; 4821121
Сортировка бинарными вставками; 1500; Рандом от 0 до 5; 3566244
Сортировка подсчетом; 1500; Рандом от 0 до 5; 39680
Цифровая сортировка; 1500; Рандом от 0 до 5; 54562
Сортировка слиянием; 1500; Рандом от 0 до 5; 500956
Быстрая сортировка (Разбиение Хоара); 1500; Рандом от 0 до 5; 99201
Быстрая сортировка (Разбиение Ломуто); 1500; Рандом от 0 до 5; 2033602
Пирамидальная сортировка; 1500; Рандом от 0 до 5; 252960
Сортировка выбором; 1600; Рандом от 0 до 5; 5634559
Сортировка пузырьком; 1600; Рандом от 0 до 5; 12886081
Сортировка пузырьком (Айверсон 1); 1600; Рандом от 0 до 5; 12509119
Сортировка пузырьком (Айверсон 1 + 2); 1600; Рандом от 0 до 5; 10356479
Сортировка вставками; 1600; Рандом от 0 до 5; 5565120
Сортировка бинарными вставками; 1600; Рандом от 0 до 5; 4087042
Сортировка подсчетом; 1600; Рандом от 0 до 5; 44639
Цифровая сортировка; 1600; Рандом от 0 до 5; 44637
Сортировка слиянием; 1600; Рандом от 0 до 5; 550560
Быстрая сортировка (Разбиение Хоара); 1600; Рандом от 0 до 5; 114080
Быстрая сортировка (Разбиение Ломуто); 1600; Рандом от 0 до 5; 2306399
Пирамидальная сортировка; 1600; Рандом от 0 до 5; 262875
Сортировка выбором; 1700; Рандом от 0 до 5; 6363680
Сортировка пузырьком; 1700; Рандом от 0 до 5; 14582398
Сортировка пузырьком (Айверсон 1); 1700; Рандом от 0 до 5; 14145919
Сортировка пузырьком (Айверсон 1 + 2); 1700; Рандом от 0 до 5; 11740325
Сортировка вставками; 1700; Рандом от 0 до 5; 6700959
Сортировка бинарными вставками; 1700; Рандом от 0 до 5; 4761605
Сортировка подсчетом; 1700; Рандом от 0 до 5; 39681
Цифровая сортировка; 1700; Рандом от 0 до 5; 59520
Сортировка слиянием; 1700; Рандом от 0 до 5; 580318
Быстрая сортировка (Разбиение Хоара); 1700; Рандом от 0 до 5; 114091
Быстрая сортировка (Разбиение Ломуто); 1700; Рандом от 0 до 5; 2618868
Пирамидальная сортировка; 1700; Рандом от 0 до 5; 287678
Сортировка выбором; 1800; Рандом от 0 до 5; 7231673
Сортировка пузырьком; 1800; Рандом от 0 до 5; 16427519
Сортировка пузырьком (Айверсон 1); 1800; Рандом от 0 до 5; 15921596
Сортировка пузырьком (Айверсон 1 + 2); 1800; Рандом от 0 до 5; 13208485
Сортировка вставками; 1800; Рандом от 0 до 5; 7092803
Сортировка бинарными вставками; 1800; Рандом от 0 до 5; 5208001
Сортировка подсчетом; 1800; Рандом от 0 до 5; 44642
Цифровая сортировка; 1800; Рандом от 0 до 5; 64482
Сортировка слиянием; 1800; Рандом от 0 до 5; 615040
Быстрая сортировка (Разбиение Хоара); 1800; Рандом от 0 до 5; 133925
